Binning group#,ID,China -Online Retail Sales Accumulated(in billion $US dollars),China - Online Retail Sales in Goods Accumulated(in billion $US dollars),China - Total Retail Sales of Consumer Goods Current Period(in billion $US dollars),China - Total Retail Sales of Consumer Goods Accumulated (in billion $US dollars),China - Total Retail Sales of Consumer Goods Growth Rate (The same period last year=100)(%),China - Total Retail Sales of Consumer Goods Accumulated Growth Rate (%),China - Total Retail Sales of Consumer Goods Growth Rate (The same period last year=100)(%),China - Online Retail Sales Accumulated Growth Rate(%),China - Online Retail Sales in Goods Accumulated Growth Rate(%),China - Online Retail Sales in Food Accumulated Growth Rate(%),China - Online Retail Sales in Clothing Accumulated Growth Rate(%),China - Online Retail Sales in Necessities Accumulated Growth Rate(%),Date
y_2010,x_2010,NaN,NaN,181.253274,1812.53274,1812.53274,1.995224,1.995224,NaN,NaN,NaN,NaN,NaN,1/1/2010
y_2010,x_2010,NaN,NaN,175.7820847,1757.820847,3570.353587,3.1496036,2.5510364,NaN,NaN,NaN,NaN,NaN,2/1/2010
y_2010,x_2010,NaN,NaN,161.3523397,1613.523397,5183.876984,2.565288,2.5510364,NaN,NaN,NaN,NaN,NaN,3/1/2010
y_2010,x_2010,NaN,NaN,164.0416166,1640.416166,6824.29315,2.636546,2.5795396,NaN,NaN,NaN,NaN,NaN,4/1/2010
y_2010,x_2010,NaN,NaN,177.5051032,1775.051032,8599.344182,2.6650492,2.5937912,NaN,NaN,NaN,NaN,NaN,5/1/2010
y_2010,x_2010,NaN,NaN,175.7208028,1757.208028,10356.55221,2.6080428,2.5937912,NaN,NaN,NaN,NaN,NaN,6/1/2010
y_2010,x_2010,NaN,NaN,174.6220045,1746.220045,12102.77226,2.5510364,2.5937912,NaN,NaN,NaN,NaN,NaN,7/1/2010
y_2010,x_2010,NaN,NaN,179.1397617,1791.397617,13894.16987,2.6222944,2.5937912,NaN,NaN,NaN,NaN,NaN,8/1/2010
y_2010,x_2010,NaN,NaN,192.9167834,1929.167834,15823.33771,2.6793008,2.6080428,NaN,NaN,NaN,NaN,NaN,9/1/2010
y_2010,x_2010,NaN,NaN,203.5812557,2035.812557,17859.15026,2.6507976,2.6080428,NaN,NaN,NaN,NaN,NaN,10/1/2010
y_2010,x_2010,NaN,NaN,198.2525824,1982.525824,19841.67609,2.6650492,2.6222944,NaN,NaN,NaN,NaN,NaN,11/1/2010
y_2010,x_2010,NaN,NaN,218.4699022,2184.699022,22026.37511,2.7220556,2.6222944,NaN,NaN,NaN,NaN,NaN,12/1/2010
y_2011,x_2011,NaN,NaN,217.3226484,2173.226484,2173.226484,2.8360684,2.8360684,NaN,NaN,NaN,NaN,NaN,1/1/2011
y_2011,x_2011,NaN,NaN,196.2317056,1962.317056,4135.54354,1.6531856,2.2517528,NaN,NaN,NaN,NaN,NaN,2/1/2011
y_2011,x_2011,NaN,NaN,193.6507408,1936.507408,6117.043249,2.4797784,2.3230108,NaN,NaN,NaN,NaN,NaN,3/1/2011
y_2011,x_2011,NaN,NaN,194.5200884,1945.200884,8062.244133,2.4370236,2.351514,NaN,NaN,NaN,NaN,NaN,4/1/2011
y_2011,x_2011,NaN,NaN,209.4529149,2094.529149,10156.77328,2.4085204,2.3657656,NaN,NaN,NaN,NaN,NaN,5/1/2011
y_2011,x_2011,NaN,NaN,207.5759792,2075.759792,12232.53307,2.5225332,2.3942688,NaN,NaN,NaN,NaN,NaN,6/1/2011
y_2011,x_2011,NaN,NaN,205.3370528,2053.370528,14285.9036,2.4512752,2.3942688,NaN,NaN,NaN,NaN,NaN,7/1/2011
y_2011,x_2011,NaN,NaN,209.569778,2095.69778,16381.60138,2.422772,2.4085204,NaN,NaN,NaN,NaN,NaN,8/1/2011
y_2011,x_2011,NaN,NaN,226.1030592,2261.030592,18642.63197,2.5225332,2.422772,NaN,NaN,NaN,NaN,NaN,9/1/2011
