Monthly 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicators,20-Jun,20-May,20-Apr,20-Mar,20-Feb,20-Jan,19-Dec,19-Nov,19-Oct,19-Sep,19-Aug,19-Jul,19-Jun,19-May,19-Apr,19-Mar,19-Feb,19-Jan,18-Dec,18-Nov,18-Oct,18-Sep,18-Aug,18-Jul,18-Jun,18-May,18-Apr,18-Mar,18-Feb,18-Jan,17-Dec,17-Nov,17-Oct,17-Sep,17-Aug,17-Jul,17-Jun,17-May,17-Apr,17-Mar,17-Feb,17-Jan,16-Dec,16-Nov,16-Oct,16-Sep,16-Aug,16-Jul,16-Jun,16-May,16-Apr,16-Mar,16-Feb,16-Jan,15-Dec,15-Nov,15-Oct,15-Sep,15-Aug,15-Jul,15-Jun,15-May,15-Apr,15-Mar,15-Feb,15-Jan,14-Dec,14-Nov,14-Oct,14-Sep,14-Aug,14-Jul,14-Jun,14-May,14-Apr,14-Mar,14-Feb,14-Jan,13-Dec,13-Nov,13-Oct,13-Sep,13-Aug,13-Jul,13-Jun,13-May,13-Apr,13-Mar,13-Feb,13-Jan,12-Dec,12-Nov,12-Oct,12-Sep,12-Aug,12-Jul,12-Jun,12-May,12-Apr,12-Mar,12-Feb,12-Jan,11-Dec,11-Nov,11-Oct,11-Sep,11-Aug,11-Jul,11-Jun,11-May,11-Apr,11-Mar,11-Feb,11-Jan,10-Dec,10-Nov,10-Oct,10-Sep,10-Aug,10-Jul,10-Jun,10-May,10-Apr,10-Mar,10-Feb,10-Jan
"Online Retail Sales Accumulated($14,250,495 US dollars)",51500.9,40175.8,30698,22168.8,13712,,106324.2,94957.8,82307.1,73237,64393,55972.5,48160.6,38641.3,30439.3,22378.7,13982.8,,90065,80688.6,70539.1,62784.6,55195.5,47862.7,40810,32690.6,25791.5,19318.5,12271.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Retail Sales Accumulated Growth Rate(%),7.3,4.5,1.7,-0.8,-3,,16.5,16.6,16.4,16.8,16.8,16.8,17.8,17.8,17.8,15.3,13.6,,23.9,24.1,25.5,27,28.2,29.3,30.1,30.7,32.4,35.4,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Online Retail Sales in Goods Accumulated($14,250,495 US dollars)",43480.7,33738.8,25751,18535.7,11233.2,,85239.5,76032.3,65172.2,57776.9,50745.5,44233.3,38164.9,30414.5,23933.2,17772,10901,,70198.2,62710.3,54140.7,47937.7,41993.1,36460.9,31276.6,24819,19494.9,14567.1,9073.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Retail Sales in Goods Accumulated Growth Rate(%),14.3,11.5,8.6,5.9,3,,19.5,19.7,19.8,20.5,20.8,20.9,21.6,21.7,22.2,21,19.5,,25.4,25.4,26.7,27.7,28.6,29.1,29.8,30,31.2,34.4,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Retail Sales in Food Accumulated Growth Rate(%),38.8,37,36.7,32.7,26.4,,30.9,29.6,34.8,28.9,30.6,29.9,29.3,28.5,26.7,24.6,20.2,,33.8,36.3,36.1,43.8,42.7,41.6,42.3,42.4,44.9,46.5,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Retail Sales in Clothing Accumulated Growth Rate(%),-2.9,-6.8,-12,-15.1,-18.1,,15.4,16.5,7.1,18.6,19.7,20.4,21.4,21.2,23.7,19.1,15.6,,22,21.2,22.5,23.3,23.4,23.9,24.1,24.9,28,33.9,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online Retail Sales in Necessities Accumulated Growth Rate(%),17.3,14.9,12.4,10,7.5,,19.8,19.8,16.6,20.3,20.2,20.2,20.9,21.2,21.2,21.3,20.8,,25.9,25.8,27.2,27.7,29,29.7,30.7,30.7,31.1,33.3,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Retail Sales of Consumer Goods Current Period(100 million yuan),33525.9,31972.8,28177.8,26449.9,,,38776.7,38093.8,38104.3,34494.9,33896.3,33073.3,33878.1,32955.7,30586.1,31725.7,,,35893.5,35259.7,35534.4,32005.4,31542.3,30733.7,30841.6,30359.1,28541.9,29193.6,,,34734.1,34108.2,34240.9,30870.3,30329.7,29609.8,29807.6,29459.2,27278.5,27863.7,,,31757,30958.5,31119.2,27976.4,27539.6,26827.4,26857.4,26610.7,24645.8,25114.1,,,28634.6,27937.3,28278.9,25270.6,24893.4,24338.8,24280.3,24194.8,22386.7,22722.8,,,25801.3,23474.7,23967.2,23042.4,21133.9,20775.8,21166.4,21249.8,19701.2,19800.6,,,23059.7,21011.9,21491.3,20653.3,18886.2,18513.2,18826.7,18886.3,17600.3,17641.2,,,20334.2,18476.7,18933.8,18226.6,16658.9,16314.9,16584.9,16714.8,15603.1,15650.2,,,17739.7,16128.9,16546.4,15865.1,14705,14408,14565.1,14696.8,13649,13588,13769.1,15249,15329.5,13910.9,14284.8,13536.5,12569.8,12252.8,12329.9,12455.1,11510.4,11321.7,12334.2,12718.1
Total Retail Sales of Consumer Goods Accumulated (100 million yuan),172256.2,138730.3,106757.5,78579.7,52129.8,,411649,372872.3,334778.5,296674.2,262179.3,228282.9,195209.7,161331.6,128375.8,97789.7,66064,,380986.9,345093.4,309833.7,274299.3,242293.9,210751.6,180017.9,149176.4,118817.3,90275.4,61081.8,,366261.6,331527.5,297419.4,263178.4,232308.2,201978.5,172368.7,142561.1,113101.9,85823.4,57959.7,,332316,300559.5,269601,238481.8,210505.4,182965.8,156138.3,129280.9,102670.2,78024.4,52910.3,,300930.8,272296.1,244358.8,216079.9,190809.3,165915.9,141577.1,117296.9,93102,70715.3,47992.5,,262394.1,236592.8,213118.1,189150.8,166108.4,144974.5,124198.7,103032.2,81782.4,62081.2,42280.7,,234380,211320.2,190308.3,168817,148163.7,129277.5,110764.3,91937.6,73051.3,55451,37809.8,,207166.7,186832.5,168355.8,149422,131195.4,114536.5,98221.6,81636.7,64921.9,49318.8,33668.6,,181225.8,163486.1,147357.2,130810.8,114945.7,100240.7,85832.7,71267.6,56570.8,42921.8,29018.1,15249,154553.7,139224.2,125313.3,111028.5,97492,84922.2,72669.4,60339.5,47884.4,36374,25052.3,12718.1
