month,year,amount,dt_unit,dt_code,dt_desc,cat_code,cat_desc,monthyear
Jan,2010,19565.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jan/10
Feb,2010,18419.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Feb/10
Mar,2010,21629.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Mar/10
Apr,2010,20385.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Apr/10
May,2010,20021.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,May/10
Jun,2010,21027.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jun/10
Jul,2010,19875.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jul/10
Aug,2010,21602.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Aug/10
Sep,2010,21327.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Sep/10
Oct,2010,21388.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Oct/10
Nov,2010,25275.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Nov/10
Dec,2010,32975.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Dec/10
Jan,2011,22221.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jan/11
Feb,2011,20666.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Feb/11
Mar,2011,23815.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Mar/11
Apr,2011,21954.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Apr/11
May,2011,23133.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,May/11
Jun,2011,23110.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jun/11
Jul,2011,21664.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jul/11
Aug,2011,24422.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Aug/11
Sep,2011,23446.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Sep/11
Oct,2011,24090.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Oct/11
Nov,2011,29238.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Nov/11
Dec,2011,36938.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Dec/11
Jan,2012,24739.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jan/12
Feb,2012,24201.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Feb/12
Mar,2012,25943.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Mar/12
Apr,2012,24432.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Apr/12
May,2012,26383.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,May/12
Jun,2012,25035.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jun/12
Jul,2012,25015.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Jul/12
Aug,2012,27379.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Aug/12
Sep,2012,25451.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Sep/12
Oct,2012,27483.0,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,Oct/12
