month,year,ecomm sales(MIL$),instore sales(MIL$),ecomm %,total sales
Jan,2010,19565,230542,7.82,250107
Feb,2010,18419,227215,7.5,245634
Mar,2010,21629,255997,7.79,277626
Apr,2010,20385,253668,7.44,274053
May,2010,20021,261194,7.12,281215
Jun,2010,21027,255696,7.6,276723
Jul,2010,19875,255879,7.21,275754
Aug,2010,21602,258012,7.73,279614
Sep,2010,21327,247175,7.94,268502
Oct,2010,21388,255343,7.73,276731
Nov,2010,25275,269925,8.56,295200
Dec,2010,32975,323060,9.26,356035
Jan,2011,22221,239688,8.48,261909
Feb,2011,20666,238070,7.99,258736
Mar,2011,23815,267571,8.17,291386
Apr,2011,21954,265380,7.64,287334
May,2011,23133,274477,7.77,297610
Jun,2011,23110,270985,7.86,294095
Jul,2011,21664,267304,7.5,288968
Aug,2011,24422,274994,8.16,299416
Sep,2011,23446,262626,8.2,286072
Oct,2011,24090,268454,8.23,292544
Nov,2011,29238,284276,9.33,313514
Dec,2011,36938,338082,9.85,375020
Jan,2012,24739,251510,8.96,276249
Feb,2012,24201,259854,8.52,284055
Mar,2012,25943,284595,8.35,310538
Apr,2012,24432,271794,8.25,296226
May,2012,26383,289614,8.35,315997
Jun,2012,25035,278538,8.25,303573
Jul,2012,25015,274129,8.36,299144
Aug,2012,27379,286999,8.71,314378
Sep,2012,25451,267090,8.7,292541
Oct,2012,27483,278116,8.99,305599
Nov,2012,32753,296937,9.93,329690
Dec,2012,39841,345301,10.34,385142
Jan,2013,28098,264555,9.6,292653
Feb,2013,25253,258853,8.89,284106
Mar,2013,27282,290548,8.58,317830
Apr,2013,27402,280488,8.9,307890
May,2013,28056,301608,8.51,329664
Jun,2013,26167,284021,8.44,310188
Jul,2013,27457,286996,8.73,314453
Aug,2013,28336,297246,8.7,325582
Sep,2013,27345,275115,9.04,302460
Oct,2013,28735,290901,8.99,319636
Nov,2013,32568,306476,9.61,339044
Dec,2013,43788,356049,10.95,399837
Jan,2014,27869,270532,9.34,298401
Feb,2014,26138,264896,8.98,291034
Mar,2014,29580,296360,9.08,325940
Apr,2014,29596,296696,9.07,326292
May,2014,30087,316016,8.69,346103
Jun,2014,30004,298553,9.13,328557
Jul,2014,30707,302863,9.21,333570
Aug,2014,30763,310070,9.03,340833
Sep,2014,31281,292573,9.66,323854
Oct,2014,32870,308686,9.62,341556
Nov,2014,36542,319984,10.25,356526
Dec,2014,50628,378786,11.79,429414
Jan,2015,31761,287155,9.96,318916
Feb,2015,29988,276968,9.77,306956
Mar,2015,34159,312779,9.85,346938
Apr,2015,33618,308895,9.82,342513
May,2015,33305,326108,9.27,359413
Jun,2015,33856,313374,9.75,347230
Jul,2015,34624,318902,9.79,353526
Aug,2015,34245,319072,9.69,353317
Sep,2015,34829,305379,10.24,340208
Oct,2015,35856,319173,10.1,355029
Nov,2015,41774,329656,11.25,371430
Dec,2015,55972,393887,12.44,449859
Jan,2016,34622,291842,10.61,326464
Feb,2016,34872,297780,10.48,332652
Mar,2016,38728,328372,10.55,367100
Apr,2016,37143,320379,10.39,357522
May,2016,38723,334699,10.37,373422
Jun,2016,38640,328497,10.52,367137
Jul,2016,37441,324671,10.34,362112
Aug,2016,40230,331140,10.83,371370
Sep,2016,38939,317353,10.93,356292
Oct,2016,39486,323516,10.88,363002
Nov,2016,48591,343907,12.38,392498
Dec,2016,61425,404624,13.18,466049
Jan,2017,39971,303087,11.65,343058
Feb,2017,37782,297024,11.28,334806
Mar,2017,43957,340710,11.43,384667
Apr,2017,41295,332207,11.06,373502
May,2017,44958,351418,11.34,396376
Jun,2017,43718,342359,11.32,386077
Jul,2017,42851,336592,11.29,379443
Aug,2017,45435,347799,11.55,393234
Sep,2017,42636,331765,11.39,374401
Oct,2017,44850,340493,11.64,385343
Nov,2017,55947,366972,13.23,422919
Dec,2017,67898,422554,13.84,490452
Jan,2018,45236,320114,12.38,365350
Feb,2018,42653,311922,12.03,354575
Mar,2018,48414,360303,11.85,408717
Apr,2018,47141,342216,12.11,389357
May,2018,50407,375562,11.83,425969
Jun,2018,47380,359463,11.65,406843
Jul,2018,49349,358332,12.1,407681
Aug,2018,50735,368481,12.1,419216
Sep,2018,47028,340598,12.13,387626
Oct,2018,52236,361549,12.62,413785
Nov,2018,63881,385824,14.21,449705
Dec,2018,67283,422013,13.75,489296
Jan,2019,51647,335561,13.34,387208
Feb,2019,48295,320150,13.11,368445
Mar,2019,52458,364889,12.57,417347
Apr,2019,54612,363113,13.07,417725
May,2019,58855,389140,13.14,447995
Jun,2019,54928,369707,12.94,424635
Jul,2019,58814,377384,13.48,436198
Aug,2019,58181,385545,13.11,443726
Sep,2019,54922,354601,13.41,409523
Oct,2019,60568,378136,13.81,438704
Nov,2019,67037,393521,14.56,460558
Dec,2019,85217,447714,15.99,532931
Jan,2020,56350,349654,13.88,406004
Feb,2020,53979,345746,13.5,399725
Mar,2020,62588,365250,14.63,427838
Apr,2020,69952,314130,18.21,384082
May,2020,75973,367671,17.12,443644
