month,vol(mil$)
1/1/2010,20726
2/1/2010,20742
3/1/2010,21521
4/1/2010,21458
5/1/2010,21459
6/1/2010,21995
7/1/2010,21793
8/1/2010,22362
9/1/2010,22426
10/1/2010,22561
11/1/2010,22567
12/1/2010,22820
1/1/2011,23715
2/1/2011,23325
3/1/2011,23603
4/1/2011,23785
5/1/2011,24122
6/1/2011,24301
7/1/2011,24424
8/1/2011,24719
9/1/2011,24602
10/1/2011,25519
11/1/2011,25806
12/1/2011,25976
1/1/2012,25905
2/1/2012,26420
3/1/2012,26365
4/1/2012,26499
5/1/2012,26921
6/1/2012,27036
7/1/2012,27339
8/1/2012,27740
9/1/2012,27937
10/1/2012,27958
11/1/2012,28580
12/1/2012,28663
1/1/2013,28997
2/1/2013,28828
3/1/2013,28809
4/1/2013,28574
5/1/2013,28746
6/1/2013,28914
7/1/2013,29210
8/1/2013,29303
9/1/2013,29403
10/1/2013,29173
11/1/2013,29473
12/1/2013,30136
1/1/2014,29152
2/1/2014,30044
3/1/2014,30813
4/1/2014,31187
5/1/2014,31406
6/1/2014,32402
7/1/2014,32255
8/1/2014,32692
9/1/2014,32927
10/1/2014,33473
11/1/2014,33648
12/1/2014,34254
1/1/2015,34152
2/1/2015,34628
3/1/2015,34750
4/1/2015,35276
5/1/2015,35506
6/1/2015,35600
7/1/2015,36255
8/1/2015,36509
9/1/2015,36934
10/1/2015,37195
11/1/2015,37465
12/1/2015,37844
1/1/2016,38469
2/1/2016,38790
3/1/2016,39159
4/1/2016,39263
5/1/2016,40003
6/1/2016,40588
7/1/2016,40697
8/1/2016,41135
9/1/2016,41424
10/1/2016,41962
11/1/2016,42216
12/1/2016,42925
1/1/2017,43494
2/1/2017,43780
3/1/2017,44311
4/1/2017,45131
5/1/2017,45321
6/1/2017,45730
7/1/2017,46176
8/1/2017,46268
9/1/2017,46699
10/1/2017,46333
11/1/2017,48313
12/1/2017,48988
1/1/2018,48641
2/1/2018,49539
3/1/2018,50066
4/1/2018,50472
5/1/2018,50357
6/1/2018,50620
7/1/2018,51405
8/1/2018,51770
9/1/2018,52604
10/1/2018,52817
11/1/2018,54881
12/1/2018,49004
1/1/2019,55475
2/1/2019,56222
3/1/2019,55985
4/1/2019,57185
5/1/2019,58738
6/1/2019,59446
7/1/2019,59770
8/1/2019,60229
9/1/2019,60090
10/1/2019,60750
11/1/2019,60069
12/1/2019,60012
1/1/2020,60985
2/1/2020,61620
3/1/2020,65332
4/1/2020,73479
5/1/2020,78974
