Index,Global retail e-commerce sales (in billion $US dollars),Month/Date,Global GDP (billion $US dollars),Month/Date2
1,572,12/31/2010,66110,31-Dec
2,680,12/31/2011,68190,31-Dec
3,893,12/31/2012,69910,31-Dec
4,1088,12/31/2013,71770,31-Dec
5,1316,12/31/2014,73810,31-Dec
6,1336,12/31/2015,75940,31-Dec
7,1548,12/31/2016,77900,31-Dec
8,1845,12/31/2017,80450,31-Dec
9,2382,12/31/2018,82940,31-Dec
10,2982,12/31/2019,85000,31-Dec
11,3535,12/31/2020,80480,31-Dec
12,4206,12/31/2021,84850,31-Dec
13,4927,12/31/2022,87140,31-Dec
14,5695,12/31/2023,89430,31-Dec
15,6542,12/31/2024,91720,31-Dec
