month,year,amount,dt_unit,dt_code,dt_desc,cat_code,cat_desc,monthyear
Jan,2010,19565,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Jan
Feb,2010,18419,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Feb
Mar,2010,21629,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Mar
Apr,2010,20385,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Apr
May,2010,20021,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-May
Jun,2010,21027,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Jun
Jul,2010,19875,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Jul
Aug,2010,21602,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Aug
Sep,2010,21327,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Sep
Oct,2010,21388,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Oct
Nov,2010,25275,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Nov
Dec,2010,32975,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,10-Dec
Jan,2011,22221,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Jan
Feb,2011,20666,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Feb
Mar,2011,23815,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Mar
Apr,2011,21954,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Apr
May,2011,23133,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-May
Jun,2011,23110,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Jun
Jul,2011,21664,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Jul
Aug,2011,24422,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Aug
Sep,2011,23446,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Sep
Oct,2011,24090,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Oct
Nov,2011,29238,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Nov
Dec,2011,36938,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,11-Dec
Jan,2012,24739,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Jan
Feb,2012,24201,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Feb
Mar,2012,25943,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Mar
Apr,2012,24432,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Apr
May,2012,26383,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-May
Jun,2012,25035,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Jun
Jul,2012,25015,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Jul
Aug,2012,27379,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Aug
Sep,2012,25451,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Sep
Oct,2012,27483,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Oct
Nov,2012,32753,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Nov
Dec,2012,39841,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,12-Dec
Jan,2013,28098,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Jan
Feb,2013,25253,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Feb
Mar,2013,27282,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Mar
Apr,2013,27402,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Apr
May,2013,28056,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-May
Jun,2013,26167,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Jun
Jul,2013,27457,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Jul
Aug,2013,28336,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Aug
Sep,2013,27345,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Sep
Oct,2013,28735,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Oct
Nov,2013,32568,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Nov
Dec,2013,43788,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,13-Dec
Jan,2014,27869,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Jan
Feb,2014,26138,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Feb
Mar,2014,29580,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Mar
Apr,2014,29596,MLN$,SM,Sales - Monthly,4541,4541: Electronic Shopping and Mail-order Houses,14-Apr
