month,year,amount,dt_code,cat_code
Jan,2010,19565.0,SM,4541
Feb,2010,18419.0,SM,4541
Mar,2010,21629.0,SM,4541
Apr,2010,20385.0,SM,4541
May,2010,20021.0,SM,4541
Jun,2010,21027.0,SM,4541
Jul,2010,19875.0,SM,4541
Aug,2010,21602.0,SM,4541
Sep,2010,21327.0,SM,4541
Oct,2010,21388.0,SM,4541
Nov,2010,25275.0,SM,4541
Dec,2010,32975.0,SM,4541
Jan,2011,22221.0,SM,4541
Feb,2011,20666.0,SM,4541
Mar,2011,23815.0,SM,4541
Apr,2011,21954.0,SM,4541
May,2011,23133.0,SM,4541
Jun,2011,23110.0,SM,4541
Jul,2011,21664.0,SM,4541
Aug,2011,24422.0,SM,4541
Sep,2011,23446.0,SM,4541
Oct,2011,24090.0,SM,4541
Nov,2011,29238.0,SM,4541
Dec,2011,36938.0,SM,4541
Jan,2012,24739.0,SM,4541
Feb,2012,24201.0,SM,4541
Mar,2012,25943.0,SM,4541
Apr,2012,24432.0,SM,4541
May,2012,26383.0,SM,4541
Jun,2012,25035.0,SM,4541
Jul,2012,25015.0,SM,4541
Aug,2012,27379.0,SM,4541
Sep,2012,25451.0,SM,4541
Oct,2012,27483.0,SM,4541
Nov,2012,32753.0,SM,4541
Dec,2012,39841.0,SM,4541
Jan,2013,28098.0,SM,4541
Feb,2013,25253.0,SM,4541
Mar,2013,27282.0,SM,4541
Apr,2013,27402.0,SM,4541
May,2013,28056.0,SM,4541
Jun,2013,26167.0,SM,4541
Jul,2013,27457.0,SM,4541
Aug,2013,28336.0,SM,4541
Sep,2013,27345.0,SM,4541
Oct,2013,28735.0,SM,4541
Nov,2013,32568.0,SM,4541
Dec,2013,43788.0,SM,4541
Jan,2014,27869.0,SM,4541
Feb,2014,26138.0,SM,4541
Mar,2014,29580.0,SM,4541
Apr,2014,29596.0,SM,4541
May,2014,30087.0,SM,4541
Jun,2014,30004.0,SM,4541
Jul,2014,30707.0,SM,4541
Aug,2014,30763.0,SM,4541
Sep,2014,31281.0,SM,4541
Oct,2014,32870.0,SM,4541
Nov,2014,36542.0,SM,4541
Dec,2014,50628.0,SM,4541
Jan,2015,31761.0,SM,4541
Feb,2015,29988.0,SM,4541
Mar,2015,34159.0,SM,4541
Apr,2015,33618.0,SM,4541
May,2015,33305.0,SM,4541
Jun,2015,33856.0,SM,4541
Jul,2015,34624.0,SM,4541
Aug,2015,34245.0,SM,4541
Sep,2015,34829.0,SM,4541
Oct,2015,35856.0,SM,4541
Nov,2015,41774.0,SM,4541
Dec,2015,55972.0,SM,4541
Jan,2016,34622.0,SM,4541
Feb,2016,34872.0,SM,4541
Mar,2016,38728.0,SM,4541
Apr,2016,37143.0,SM,4541
May,2016,38723.0,SM,4541
Jun,2016,38640.0,SM,4541
Jul,2016,37441.0,SM,4541
Aug,2016,40230.0,SM,4541
Sep,2016,38939.0,SM,4541
Oct,2016,39486.0,SM,4541
Nov,2016,48591.0,SM,4541
Dec,2016,61425.0,SM,4541
Jan,2017,39971.0,SM,4541
Feb,2017,37782.0,SM,4541
Mar,2017,43957.0,SM,4541
Apr,2017,41295.0,SM,4541
May,2017,44958.0,SM,4541
Jun,2017,43718.0,SM,4541
Jul,2017,42851.0,SM,4541
Aug,2017,45435.0,SM,4541
Sep,2017,42636.0,SM,4541
Oct,2017,44850.0,SM,4541
Nov,2017,55947.0,SM,4541
Dec,2017,67898.0,SM,4541
Jan,2018,45236.0,SM,4541
Feb,2018,42653.0,SM,4541
Mar,2018,48414.0,SM,4541
Apr,2018,47141.0,SM,4541
May,2018,50407.0,SM,4541
Jun,2018,47380.0,SM,4541
Jul,2018,49349.0,SM,4541
Aug,2018,50735.0,SM,4541
Sep,2018,47028.0,SM,4541
Oct,2018,52236.0,SM,4541
Nov,2018,63881.0,SM,4541
Dec,2018,67283.0,SM,4541
Jan,2019,51647.0,SM,4541
Feb,2019,48295.0,SM,4541
Mar,2019,52458.0,SM,4541
Apr,2019,54612.0,SM,4541
May,2019,58855.0,SM,4541
Jun,2019,54928.0,SM,4541
Jul,2019,58814.0,SM,4541
Aug,2019,58181.0,SM,4541
Sep,2019,54922.0,SM,4541
Oct,2019,60568.0,SM,4541
Nov,2019,67037.0,SM,4541
Dec,2019,85217.0,SM,4541
Jan,2020,56350.0,SM,4541
Feb,2020,53979.0,SM,4541
Mar,2020,62588.0,SM,4541
Apr,2020,69952.0,SM,4541
May,2020,75973.0,SM,4541
Jan,2010,-34.2,MPCSM,4541
Feb,2010,-5.9,MPCSM,4541
Mar,2010,17.4,MPCSM,4541
Apr,2010,-5.8,MPCSM,4541
May,2010,-1.8,MPCSM,4541
Jun,2010,5.0,MPCSM,4541
Jul,2010,-5.5,MPCSM,4541
Aug,2010,8.7,MPCSM,4541
Sep,2010,-1.3,MPCSM,4541
Oct,2010,0.3,MPCSM,4541
Nov,2010,18.2,MPCSM,4541
Dec,2010,30.5,MPCSM,4541
Jan,2011,-32.6,MPCSM,4541
Feb,2011,-7.0,MPCSM,4541
Mar,2011,15.2,MPCSM,4541
Apr,2011,-7.8,MPCSM,4541
May,2011,5.4,MPCSM,4541
Jun,2011,-0.1,MPCSM,4541
Jul,2011,-6.3,MPCSM,4541
Aug,2011,12.7,MPCSM,4541
Sep,2011,-4.0,MPCSM,4541
Oct,2011,2.7,MPCSM,4541
Nov,2011,21.4,MPCSM,4541
Dec,2011,26.3,MPCSM,4541
Jan,2012,-33.0,MPCSM,4541
Feb,2012,-2.2,MPCSM,4541
Mar,2012,7.2,MPCSM,4541
Apr,2012,-5.8,MPCSM,4541
May,2012,8.0,MPCSM,4541
Jun,2012,-5.1,MPCSM,4541
Jul,2012,-0.1,MPCSM,4541
Aug,2012,9.5,MPCSM,4541
Sep,2012,-7.0,MPCSM,4541
Oct,2012,8.0,MPCSM,4541
Nov,2012,19.2,MPCSM,4541
Dec,2012,21.6,MPCSM,4541
Jan,2013,-29.5,MPCSM,4541
Feb,2013,-10.1,MPCSM,4541
Mar,2013,8.0,MPCSM,4541
Apr,2013,0.4,MPCSM,4541
May,2013,2.4,MPCSM,4541
Jun,2013,-6.7,MPCSM,4541
Jul,2013,4.9,MPCSM,4541
Aug,2013,3.2,MPCSM,4541
Sep,2013,-3.5,MPCSM,4541
Oct,2013,5.1,MPCSM,4541
Nov,2013,13.3,MPCSM,4541
Dec,2013,34.5,MPCSM,4541
Jan,2014,-36.4,MPCSM,4541
Feb,2014,-6.2,MPCSM,4541
Mar,2014,13.2,MPCSM,4541
Apr,2014,0.1,MPCSM,4541
May,2014,1.7,MPCSM,4541
Jun,2014,-0.3,MPCSM,4541
Jul,2014,2.3,MPCSM,4541
Aug,2014,0.2,MPCSM,4541
Sep,2014,1.7,MPCSM,4541
Oct,2014,5.1,MPCSM,4541
Nov,2014,11.2,MPCSM,4541
Dec,2014,38.5,MPCSM,4541
Jan,2015,-37.3,MPCSM,4541
Feb,2015,-5.6,MPCSM,4541
Mar,2015,13.9,MPCSM,4541
Apr,2015,-1.6,MPCSM,4541
May,2015,-0.9,MPCSM,4541
Jun,2015,1.7,MPCSM,4541
Jul,2015,2.3,MPCSM,4541
Aug,2015,-1.1,MPCSM,4541
Sep,2015,1.7,MPCSM,4541
Oct,2015,2.9,MPCSM,4541
Nov,2015,16.5,MPCSM,4541
Dec,2015,34.0,MPCSM,4541
Jan,2016,-38.1,MPCSM,4541
Feb,2016,0.7,MPCSM,4541
Mar,2016,11.1,MPCSM,4541
Apr,2016,-4.1,MPCSM,4541
May,2016,4.3,MPCSM,4541
Jun,2016,-0.2,MPCSM,4541
Jul,2016,-3.1,MPCSM,4541
Aug,2016,7.4,MPCSM,4541
Sep,2016,-3.2,MPCSM,4541
Oct,2016,1.4,MPCSM,4541
Nov,2016,23.1,MPCSM,4541
Dec,2016,26.4,MPCSM,4541
Jan,2017,-34.9,MPCSM,4541
Feb,2017,-5.5,MPCSM,4541
Mar,2017,16.3,MPCSM,4541
Apr,2017,-6.1,MPCSM,4541
May,2017,8.9,MPCSM,4541
Jun,2017,-2.8,MPCSM,4541
Jul,2017,-2.0,MPCSM,4541
Aug,2017,6.0,MPCSM,4541
Sep,2017,-6.2,MPCSM,4541
Oct,2017,5.2,MPCSM,4541
Nov,2017,24.7,MPCSM,4541
Dec,2017,21.4,MPCSM,4541
Jan,2018,-33.4,MPCSM,4541
Feb,2018,-5.7,MPCSM,4541
Mar,2018,13.5,MPCSM,4541
Apr,2018,-2.6,MPCSM,4541
May,2018,6.9,MPCSM,4541
Jun,2018,-6.0,MPCSM,4541
Jul,2018,4.2,MPCSM,4541
Aug,2018,2.8,MPCSM,4541
Sep,2018,-7.3,MPCSM,4541
Oct,2018,11.1,MPCSM,4541
Nov,2018,22.3,MPCSM,4541
Dec,2018,5.3,MPCSM,4541
Jan,2019,-23.2,MPCSM,4541
Feb,2019,-6.5,MPCSM,4541
Mar,2019,8.6,MPCSM,4541
Apr,2019,4.1,MPCSM,4541
May,2019,7.8,MPCSM,4541
Jun,2019,-6.7,MPCSM,4541
Jul,2019,7.1,MPCSM,4541
Aug,2019,-1.1,MPCSM,4541
Sep,2019,-5.6,MPCSM,4541
Oct,2019,10.3,MPCSM,4541
Nov,2019,10.7,MPCSM,4541
Dec,2019,27.1,MPCSM,4541
Jan,2020,-33.9,MPCSM,4541
Feb,2020,-4.2,MPCSM,4541
Mar,2020,15.9,MPCSM,4541
Apr,2020,11.8,MPCSM,4541
May,2020,8.6,MPCSM,4541
Jan,2010,230542.0,SM,44W72
Feb,2010,227215.0,SM,44W72
Mar,2010,255997.0,SM,44W72
Apr,2010,253668.0,SM,44W72
May,2010,261194.0,SM,44W72
Jun,2010,255696.0,SM,44W72
Jul,2010,255879.0,SM,44W72
Aug,2010,258012.0,SM,44W72
Sep,2010,247175.0,SM,44W72
Oct,2010,255343.0,SM,44W72
Nov,2010,269925.0,SM,44W72
Dec,2010,323060.0,SM,44W72
Jan,2011,239688.0,SM,44W72
Feb,2011,238070.0,SM,44W72
Mar,2011,267571.0,SM,44W72
Apr,2011,265380.0,SM,44W72
May,2011,274477.0,SM,44W72
Jun,2011,270985.0,SM,44W72
Jul,2011,267304.0,SM,44W72
Aug,2011,274994.0,SM,44W72
Sep,2011,262626.0,SM,44W72
Oct,2011,268454.0,SM,44W72
Nov,2011,284276.0,SM,44W72
Dec,2011,338082.0,SM,44W72
Jan,2012,251510.0,SM,44W72
Feb,2012,259854.0,SM,44W72
Mar,2012,284595.0,SM,44W72
Apr,2012,271794.0,SM,44W72
May,2012,289614.0,SM,44W72
Jun,2012,278538.0,SM,44W72
Jul,2012,274129.0,SM,44W72
Aug,2012,286999.0,SM,44W72
Sep,2012,267090.0,SM,44W72
Oct,2012,278116.0,SM,44W72
Nov,2012,296937.0,SM,44W72
Dec,2012,345301.0,SM,44W72
Jan,2013,264555.0,SM,44W72
Feb,2013,258853.0,SM,44W72
Mar,2013,290548.0,SM,44W72
Apr,2013,280488.0,SM,44W72
May,2013,301608.0,SM,44W72
Jun,2013,284021.0,SM,44W72
Jul,2013,286996.0,SM,44W72
Aug,2013,297246.0,SM,44W72
Sep,2013,275115.0,SM,44W72
Oct,2013,290901.0,SM,44W72
Nov,2013,306476.0,SM,44W72
Dec,2013,356049.0,SM,44W72
Jan,2014,270532.0,SM,44W72
Feb,2014,264896.0,SM,44W72
Mar,2014,296360.0,SM,44W72
Apr,2014,296696.0,SM,44W72
May,2014,316016.0,SM,44W72
Jun,2014,298553.0,SM,44W72
Jul,2014,302863.0,SM,44W72
Aug,2014,310070.0,SM,44W72
Sep,2014,292573.0,SM,44W72
Oct,2014,308686.0,SM,44W72
Nov,2014,319984.0,SM,44W72
Dec,2014,378786.0,SM,44W72
Jan,2015,287155.0,SM,44W72
Feb,2015,276968.0,SM,44W72
Mar,2015,312779.0,SM,44W72
