month,year,ecomm sales(MIL$),instore sales(MIL$),ecomm %,instore %,total sales
Jan,2010,19565,210977,8.49,91.51,230542
Feb,2010,18419,208796,8.11,91.89,227215
Mar,2010,21629,234368,8.45,91.55,255997
Apr,2010,20385,233283,8.04,91.96,253668
May,2010,20021,241173,7.67,92.33,261194
Jun,2010,21027,234669,8.22,91.78,255696
Jul,2010,19875,236004,7.77,92.23,255879
Aug,2010,21602,236410,8.37,91.63,258012
Sep,2010,21327,225848,8.63,91.37,247175
Oct,2010,21388,233955,8.38,91.62,255343
Nov,2010,25275,244650,9.36,90.64,269925
Dec,2010,32975,290085,10.21,89.79,323060
Jan,2011,22221,217467,9.27,90.73,239688
Feb,2011,20666,217404,8.68,91.32,238070
Mar,2011,23815,243756,8.9,91.1,267571
Apr,2011,21954,243426,8.27,91.73,265380
May,2011,23133,251344,8.43,91.57,274477
Jun,2011,23110,247875,8.53,91.47,270985
Jul,2011,21664,245640,8.1,91.9,267304
Aug,2011,24422,250572,8.88,91.12,274994
Sep,2011,23446,239180,8.93,91.07,262626
Oct,2011,24090,244364,8.97,91.03,268454
Nov,2011,29238,255038,10.29,89.71,284276
Dec,2011,36938,301144,10.93,89.07,338082
Jan,2012,24739,226771,9.84,90.16,251510
Feb,2012,24201,235653,9.31,90.69,259854
Mar,2012,25943,258652,9.12,90.88,284595
Apr,2012,24432,247362,8.99,91.01,271794
May,2012,26383,263231,9.11,90.89,289614
Jun,2012,25035,253503,8.99,91.01,278538
Jul,2012,25015,249114,9.13,90.87,274129
Aug,2012,27379,259620,9.54,90.46,286999
Sep,2012,25451,241639,9.53,90.47,267090
Oct,2012,27483,250633,9.88,90.12,278116
Nov,2012,32753,264184,11.03,88.97,296937
Dec,2012,39841,305460,11.54,88.46,345301
Jan,2013,28098,236457,10.62,89.38,264555
Feb,2013,25253,233600,9.76,90.24,258853
Mar,2013,27282,263266,9.39,90.61,290548
Apr,2013,27402,253086,9.77,90.23,280488
May,2013,28056,273552,9.3,90.7,301608
Jun,2013,26167,257854,9.21,90.79,284021
Jul,2013,27457,259539,9.57,90.43,286996
Aug,2013,28336,268910,9.53,90.47,297246
Sep,2013,27345,247770,9.94,90.06,275115
Oct,2013,28735,262166,9.88,90.12,290901
