"by product group",2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04 p),2020. 05 p)
"by product group",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"Total",32181972,31646995,33833882,33502589,35086616,32497374,33452387,32666749,34723285,35917319,35926043,36882006,33636691,32419066,35310548,34633383,36477538,35140555,34688681,34298905,35238201,37134134,37250733,38124781,35852264,33075639,36587608,35886333,37230697,35937289,36065993,35112032,38192194,37519328,39649924,39178700,36572792,35692615,39512339,38327946,39453228,37947071,38607766,37793997,39346399,40368653,40800065,40582051,38005632,34661225,40194324,38877265,40872504,38415254,38401576,38789902,39763732,40666543,41961308,42552385,39583624,34492452,37370302,37695372,40965512
"Total (excluding passenger cars)",28918360,28819386,30269048,29975607,31712676,28626375,29751274,29411656,31110154,32086378,31983297,32013450,30572068,29332865,30998967,30754386,32436431,30488454,31376680,31215056,31965836,33372672,33216619,33562218,32679619,29636851,32268388,32040566,33287923,31599485,32384234,31567487,34191312,34168333,35361501,35238020,32801359,32320675,34943759,33906854,35113280,33658295,34489442,33902302,36060663,36177431,36459925,36292043,34413847,31473097,35992420,34585233,36721872,34480233,34316088,34899023,35822366,36191606,37378096,37297765,36238716,31655784,32445069,32510094,35697108
"Durable goods",7893391,7217184,8293190,7919262,8018138,8378438,8587728,7988994,7971151,8837954,9037180,9726243,7749108,7691851,9330765,8655786,9080744,9612677,8717544,8513728,7877384,9048597,9218768,9676557,7935842,8415737,9547679,9132245,9604816,9729634,9640654,8989978,9384936,8756145,10307428,9611286,9239681,8495041,10465178,10058728,10173237,9875441,10135720,9779762,8418264,9686541,10179243,9876879,9034170,8331313,10374019,9916341,10155101,9606051,9783347,9817809,9206465,10123836,10496205,11039740,8793306,8440138,10641468,10825179,11502158
"Passenger cars",3263612,2827609,3564834,3526982,3373940,3870999,3701113,3255093,3613131,3830941,3942746,4868556,3064623,3086201,4311581,3878997,4041107,4652101,3312001,3083849,3272365,3761462,4034114,4562563,3172645,3438788,4319220,3845767,3942774,4337804,3681759,3544545,4000882,3350995,4288423,3940680,3771433,3371940,4568580,4421092,4339948,4288776,4118324,3891695,3285736,4191222,4340140,4290008,3591785,3188128,4201904,4292032,4150632,3935021,4085488,3890879,3941366,4474937,4583212,5254620,3344908,2836668,4925233,5185278,5268404
"Household appliances",1278431,1207508,1343840,1314819,1509233,1477807,1777061,1655007,1351590,1647181,1795383,1587474,1437341,1387733,1506980,1485567,1667849,1793514,2138844,2054325,1545653,1737451,1773687,1635016,1433846,1448949,1629827,1748981,2142679,2062167,2422801,1948181,1701620,1876270,2109744,1893495,1800552,1693829,2010309,2090198,2298940,2230998,2662461,2307179,1781371,2029763,2229571,1982735,1915331,1762497,2313568,2079183,2365346,2223141,2160018,2138506,1824102,1966382,2171616,1985634,1924601,2095514,2188035,2219148,2666188
"Telecommunication equipment & Computer",1873855,1756041,1761924,1624331,1643071,1590762,1620484,1567167,1489834,1651485,1650646,1640907,1690162,1705938,1802260,1671147,1696936,1584204,1659773,1710378,1459899,1709258,1661663,1661712,1692709,1742868,1778390,1806477,1743176,1609269,1762318,1644385,1840270,1736233,2115957,1945588,1907158,1744657,1939088,1643430,1660860,1514371,1544806,1699496,1536803,1547958,1794663,1626716,1676493,1589296,1823917,1578609,1594083,1509917,1586041,1803521,1529974,1664390,1766884,1652191,1568381,1624054,1689552,1549928,1542663
"Furniture",544173,514176,634677,583695,581892,543595,556727,562703,543575,621378,577893,568749,545896,541234,613459,589206,579143,556466,559018,597866,588128,687729,629531,638641,588798,633190,658497,595197,586271,575977,580457,587083,589466,556976,574664,611140,579516,564953,688454,642114,619333,600277,585051,614348,613618,712969,652260,674532,670493,665403,746309,692069,664192,640718,631282,676445,659488,738233,698743,742214,712781,782243,819816,857974,877567
"The others(Durable goods)",933320,911849,987915,869435,910003,895275,932344,949026,973021,1086970,1070513,1060558,1011086,970746,1096485,1030869,1095710,1026393,1047908,1067310,1011341,1152698,1119772,1178625,1047844,1151942,1161745,1135824,1189916,1144418,1193318,1265785,1252698,1235672,1218641,1220384,1181023,1119662,1258747,1261894,1254155,1241019,1225079,1267044,1200736,1204628,1162609,1302887,1180069,1125989,1288322,1274448,1380847,1297255,1320518,1308458,1251535,1279894,1275750,1405080,1242635,1101658,1018832,1012851,1147335
"Semi-durable goods",7378507,6926510,7912778,8066293,8615278,6643168,6880166,6627943,7431100,9214828,9481061,9138408,7698103,7125983,8196670,8403174,8872512,7606346,7503543,6833921,7645154,9453415,9618741,9253873,7702996,7136429,8041282,8438060,8498307,7519059,7374066,6762431,7903649,9191530,10070091,9526699,7616888,7468051,9066595,8739650,9153733,8262213,8054285,7253853,8741339,10097325,10351368,10151331,8119083,7698335,9350511,8872419,9673118,8519335,8015881,7478839,8418306,9528188,10376590,9712292,7845676,6252856,6409248,7337363,9078194
