month,vol(mil$)
1/1/2010,308529
2/1/2010,308520
3/1/2010,316269
4/1/2010,318612
5/1/2010,315356
6/1/2010,315250
7/1/2010,315546
8/1/2010,317345
9/1/2010,319914
10/1/2010,324043
11/1/2010,327635
12/1/2010,329741
1/1/2011,332140
2/1/2011,334674
3/1/2011,337935
4/1/2011,340149
5/1/2011,339232
6/1/2011,341657
7/1/2011,341274
8/1/2011,342228
9/1/2011,345696
10/1/2011,347717
11/1/2011,349352
12/1/2011,349973
1/1/2012,352610
2/1/2012,357233
3/1/2012,358862
4/1/2012,356550
5/1/2012,356050
6/1/2012,352556
7/1/2012,353782
8/1/2012,358397
9/1/2012,361281
10/1/2012,362129
11/1/2012,363013
12/1/2012,364299
1/1/2013,367100
2/1/2013,372389
3/1/2013,369175
4/1/2013,367557
5/1/2013,369337
6/1/2013,370962
7/1/2013,373426
8/1/2013,372414
9/1/2013,372091
10/1/2013,373352
11/1/2013,373819
12/1/2013,376575
1/1/2014,372607
2/1/2014,378256
3/1/2014,382077
4/1/2014,386506
5/1/2014,386815
6/1/2014,387726
7/1/2014,388072
8/1/2014,391304
9/1/2014,389778
10/1/2014,390348
11/1/2014,391679
12/1/2014,388421
1/1/2015,385466
2/1/2015,384793
3/1/2015,390948
4/1/2015,390986
5/1/2015,394518
6/1/2015,395115
7/1/2015,397720
8/1/2015,397585
9/1/2015,396353
10/1/2015,394715
11/1/2015,396257
12/1/2015,397123
1/1/2016,395210
2/1/2016,398293
3/1/2016,397196
4/1/2016,398813
5/1/2016,400435
6/1/2016,404859
7/1/2016,404315
8/1/2016,404345
9/1/2016,406628
10/1/2016,407991
11/1/2016,406761
12/1/2016,412753
1/1/2017,416600
2/1/2017,416224
3/1/2017,415464
4/1/2017,418010
5/1/2017,415879
6/1/2017,417639
7/1/2017,417908
8/1/2017,418181
9/1/2017,428218
10/1/2017,428529
11/1/2017,431841
12/1/2017,433877
1/1/2018,433198
2/1/2018,435033
3/1/2018,434510
4/1/2018,436423
5/1/2018,441536
6/1/2018,439651
7/1/2018,441541
8/1/2018,440241
9/1/2018,441029
10/1/2018,446238
11/1/2018,446894
12/1/2018,435953
1/1/2019,443420
2/1/2019,442467
3/1/2019,449925
4/1/2019,452012
5/1/2019,453199
6/1/2019,454256
7/1/2019,457485
8/1/2019,459938
9/1/2019,457277
10/1/2019,459978
11/1/2019,460760
12/1/2019,460512
1/1/2020,464062
2/1/2020,461914
3/1/2020,438221
4/1/2020,382734
5/1/2020,448201
