,data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,time
0,MPCIM,721,no,44000,-0.8,2010-01
1,IR,721,no,44000,1.51,2010-01
2,IM,721,no,44000,420088,2010-01
3,SM,721,no,44000,279044,2010-01
4,MPCSM,721,no,44000,-23.1,2010-01
5,E_SM,721,no,44000,0.6,2010-01
6,E_IR,721,no,44000,0.01,2010-01
7,E_MPCIM,721,no,44000,0.1,2010-01
8,E_MPCSM,721,no,44000,0.2,2010-01
9,E_IM,721,no,44000,0.8,2010-01
10,IR,721,yes,44000,1.39,2010-01
11,MPCIM,721,yes,44000,0.0,2010-01
12,MPCSM,721,yes,44000,0.0,2010-01
13,SM,721,yes,44000,308529,2010-01
14,IM,721,yes,44000,429256,2010-01
15,E_SM,721,yes,44000,0.6,2010-01
16,E_IR,721,yes,44000,0.01,2010-01
17,E_MPCIM,721,yes,44000,0.1,2010-01
18,E_MPCSM,721,yes,44000,0.2,2010-01
19,E_IM,721,yes,44000,0.8,2010-01
20,IR,721,no,4400A,1.33,2010-01
21,MPCSM,721,no,4400A,-25.3,2010-01
22,MPCIM,721,no,4400A,-1.1,2010-01
23,IM,721,no,4400A,305409,2010-01
24,SM,721,no,4400A,229174,2010-01
25,E_SM,721,no,4400A,0.6,2010-01
26,E_IR,721,no,4400A,0.01,2010-01
27,E_MPCIM,721,no,4400A,0.1,2010-01
28,E_MPCSM,721,no,4400A,0.2,2010-01
29,E_IM,721,no,4400A,0.7,2010-01
30,MPCSM,721,yes,4400A,0.1,2010-01
31,MPCIM,721,yes,4400A,-0.1,2010-01
32,SM,721,yes,4400A,251609,2010-01
33,IR,721,yes,4400A,1.25,2010-01
34,IM,721,yes,4400A,315765,2010-01
35,E_SM,721,yes,4400A,0.6,2010-01
36,E_IR,721,yes,4400A,0.01,2010-01
37,E_MPCIM,721,yes,4400A,0.1,2010-01
38,E_MPCSM,721,yes,4400A,0.2,2010-01
39,E_IM,721,yes,4400A,0.7,2010-01
40,MPCSM,721,no,4400C,-39.9,2010-01
41,SM,721,no,4400C,79913,2010-01
42,E_SM,721,no,4400C,0.6,2010-01
43,E_MPCSM,721,no,4400C,0.2,2010-01
44,MPCSM,721,yes,4400C,0.8,2010-01
45,SM,721,yes,4400C,91851,2010-01
46,E_SM,721,yes,4400C,0.6,2010-01
47,E_MPCSM,721,yes,4400C,0.2,2010-01
48,MPCIM,721,no,441,-0.1,2010-01
49,IR,721,no,441,2.30,2010-01
50,IM,721,no,441,114679,2010-01
51,SM,721,no,441,49870,2010-01
52,MPCSM,721,no,441,-10.7,2010-01
53,E_SM,721,no,441,1.7,2010-01
54,E_IR,721,no,441,0.03,2010-01
55,E_MPCIM,721,no,441,0.2,2010-01
56,E_MPCSM,721,no,441,0.6,2010-01
57,E_IM,721,no,441,1.9,2010-01
58,SM,721,yes,441,56920,2010-01
59,MPCSM,721,yes,441,-0.3,2010-01
60,MPCIM,721,yes,441,0.3,2010-01
61,IR,721,yes,441,1.99,2010-01
62,IM,721,yes,441,113491,2010-01
63,E_SM,721,yes,441,1.7,2010-01
64,E_IR,721,yes,441,0.03,2010-01
65,E_MPCIM,721,yes,441,0.2,2010-01
66,E_MPCSM,721,yes,441,0.6,2010-01
67,E_IM,721,yes,441,1.9,2010-01
68,MPCSM,721,no,4411,-10.2,2010-01
69,SM,721,no,4411,42162,2010-01
70,E_SM,721,no,4411,2.3,2010-01
71,E_MPCSM,721,no,4411,0.6,2010-01
72,E_SM,721,yes,4411,2.3,2010-01
73,E_MPCSM,721,yes,4411,0.6,2010-01
74,MPCSM,721,no,44111,-12.2,2010-01
75,SM,721,no,44111,37035,2010-01
76,E_SM,721,no,44111,2.7,2010-01
77,E_MPCSM,721,no,44111,0.6,2010-01
78,E_SM,721,yes,44111,2.7,2010-01
79,E_MPCSM,721,yes,44111,0.6,2010-01
80,MPCSM,721,no,44112,7.7,2010-01
81,SM,721,no,44112,5127,2010-01
82,E_SM,721,no,44112,5.2,2010-01
83,E_MPCSM,721,no,44112,1.3,2010-01
84,E_SM,721,yes,44112,5.2,2010-01
85,E_MPCSM,721,yes,44112,1.3,2010-01
86,SM,721,no,4413,5304,2010-01
87,MPCSM,721,no,4413,-9.8,2010-01
88,E_SM,721,no,4413,6.9,2010-01
89,E_MPCSM,721,no,4413,0.7,2010-01
90,SM,721,yes,4413,6104,2010-01
91,MPCSM,721,yes,4413,0.2,2010-01
92,E_SM,721,yes,4413,6.9,2010-01
93,E_MPCSM,721,yes,4413,0.7,2010-01
94,SM,721,no,441X,44566,2010-01
